network_definition,n,students,katz_coef,katz_se,katz_pval,ci_95_low,ci_95_high,r2
outgoing,2088,535,0.009262906074618294,0.006258855619294563,0.13888178496121098,-0.0030042255236351866,0.021530037672871774,0.9101214923543473
incoming,1444,443,0.009962872003582498,0.006277071119009775,0.11247079143597244,-0.002339961318073196,0.022265705325238194,0.9182769770805522
reciprocal,908,330,0.007729458792194652,0.007928291375934354,0.3295993836256449,-0.0078097067635761915,0.023268624347965495,0.9257203750817893
