group,level,student_id,time_index,n_timepoints,gpa,gpa_time_varying,katz_direction,avg_friend_gpa,katz_centrality,in_degree,out_degree
school,high_school,school_53,0,6,4.166666666666667,True,outgoing_original_ties,4.336734693877552,0.03977819405797092,2,7
school,high_school,school_54,0,6,3.3333333333333335,True,outgoing_original_ties,4.0,0.02658671343027145,1,3
school,high_school,school_55,0,6,4.142857142857143,True,outgoing_original_ties,4.857142857142857,0.016590849678006225,8,1
school,high_school,school_56,0,6,3.125,True,outgoing_original_ties,3.5,0.0344525138907714,27,3
school,high_school,school_57,0,6,3.25,True,outgoing_original_ties,4.875,0.02032142939227252,0,1
school,high_school,school_58,0,6,3.8333333333333335,True,outgoing_original_ties,3.333333333333333,0.017923602644349498,1,2
school,high_school,school_59,0,6,4.142857142857143,True,outgoing_original_ties,3.8571428571428577,0.017403831781752,4,2
school,high_school,school_60,0,6,4.5,True,outgoing_original_ties,4.093253968253968,0.09623476347167041,0,18
school,high_school,school_61,0,6,3.25,True,outgoing_original_ties,3.65,0.03675348356936011,28,5
school,high_school,school_62,0,6,3.75,True,outgoing_original_ties,4.25,0.016975638759195503,0,1
school,high_school,school_63,0,6,4.0,True,outgoing_original_ties,4.226190476190476,0.030394427429711247,17,6
school,high_school,school_64,0,6,3.5,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_65,0,6,4.0,True,outgoing_original_ties,4.514285714285714,0.02792558565101812,11,5
school,high_school,school_66,0,6,3.5,True,outgoing_original_ties,4.0,0.023359068398981345,11,1
school,high_school,school_67,0,6,4.5,True,outgoing_original_ties,4.142857142857143,0.04555194081886092,14,10
school,high_school,school_68,0,6,3.4285714285714284,True,outgoing_original_ties,3.7127976190476195,0.034217204324940756,1,4
school,high_school,school_69,0,6,4.875,True,outgoing_original_ties,4.302083333333334,0.04536300651098908,0,8
school,high_school,school_70,0,6,4.875,True,outgoing_original_ties,4.145833333333333,0.03459852025637535,2,6
school,high_school,school_71,0,6,4.125,True,outgoing_original_ties,4.098214285714286,0.03927385973273343,0,2
