alpha_frac,level,n,katz_coef,katz_pval,sig
0.05,high_school,3930,0.04407376822405637,0.19233601498259156,False
0.05,university,42274,0.14235244819950932,1.9170705939032326e-05,True
0.2,high_school,3930,0.045273363394900845,0.22656987077048718,False
0.2,university,42274,0.1573878702829401,0.0009522310081285613,True
0.4,high_school,3930,0.03282492546280888,0.42123788050067423,False
0.4,university,42274,0.1081036780866576,0.028953334016929094,True
0.6,high_school,3930,0.011793754883560909,0.7556447900464477,False
0.6,university,42274,0.05647118054744288,0.14249648557021596,False
0.8,high_school,3930,-0.00978637234131019,0.7500368149131998,False
0.8,university,42274,0.02207058085377865,0.3920611718931799,False
0.95,high_school,3930,-0.025691774490932545,0.28980401025970304,False
0.95,university,42274,0.008117831450461674,0.6118705283556463,False
