,katz_centrality_z,eigenvector_z,betweenness_z,in_degree_z,out_degree_z
katz_centrality_z,1.0,0.8872252414636533,0.48047538854751715,0.4004731155046962,0.8531205954154706
eigenvector_z,0.8872252414636533,1.0,0.3186091914297263,0.30735086719796895,0.5915156951895274
betweenness_z,0.48047538854751715,0.3186091914297263,1.0,0.69970300618217,0.568958571904425
in_degree_z,0.4004731155046962,0.30735086719796895,0.69970300618217,1.0,0.40428933093203145
out_degree_z,0.8531205954154706,0.5915156951895274,0.568958571904425,0.40428933093203145,1.0
