alpha_frac,group,n,katz_coef,katz_pval,sig
0.05,school,3930,0.04407376822405637,0.19233601498259156,False
0.05,freshmen,3098,0.33062945002164,0.009266731164779331,True
0.05,sophomores,8946,0.07368636152737729,0.1125638236278787,False
0.05,juniors,13430,0.011727161455548307,0.7870993034557316,False
0.05,seniors,16800,0.31506238249966334,8.11227868175463e-06,True
0.2,school,3930,0.045273363394900845,0.22656987077048718,False
0.2,freshmen,3098,0.2982612819369779,0.10509687257271386,False
0.2,sophomores,8946,0.17466287948079495,0.06194892308593003,False
0.2,juniors,13430,-0.07466928610972645,0.2927013009030146,False
0.2,seniors,16800,0.3992463105723192,3.384558784677963e-06,True
0.4,school,3930,0.03282492546280888,0.42123788050067423,False
0.4,freshmen,3098,0.16040086069953424,0.16617531203633706,False
0.4,sophomores,8946,0.17285320397326753,0.06284097866424984,False
0.4,juniors,13430,-0.12557864319824857,0.1348159545908711,False
0.4,seniors,16800,0.30837009823475253,0.00020804211342196114,True
0.6,school,3930,0.011793754883560909,0.7556447900464477,False
0.6,freshmen,3098,0.09470872282815529,0.1893037526820922,False
0.6,sophomores,8946,0.13156219286159415,0.05589186929840477,False
0.6,juniors,13430,-0.12038998399944582,0.08330378793978317,False
0.6,seniors,16800,0.17958458250945528,0.004556835899207107,True
0.8,school,3930,-0.00978637234131019,0.7500368149131998,False
0.8,freshmen,3098,0.06458192008482169,0.1387875065877512,False
0.8,sophomores,8946,0.08981177509843835,0.04632278591752722,True
0.8,juniors,13430,-0.09350660540190636,0.050663995949192034,False
0.8,seniors,16800,0.07987770921175719,0.05702351329801166,False
0.95,school,3930,-0.025691774490932545,0.28980401025970304,False
0.95,freshmen,3098,0.061326661803223395,0.02103144477598869,True
0.95,sophomores,8946,0.051484600204243156,0.06660202053556133,False
0.95,juniors,13430,-0.06235674284470722,0.04115190950990238,True
0.95,seniors,16800,0.025791338660573013,0.3230654196092325,False
