group,level,student_id,time_index,gpa,avg_friend_gpa,katz_centrality,eigenvector,betweenness,in_degree,out_degree
school,high_school,school_0,0,3.375,3.9857142857142853,0.059159020701710856,0.04503365629252225,0.0,0,10
school,high_school,school_1,0,3.125,3.8303571428571432,0.06665279622383839,0.038865072473762564,0.005931943503773737,5,14
school,high_school,school_2,0,4.125,3.529761904761905,0.0379748759255435,0.01224572551701395,0.013596885534949702,24,6
school,high_school,school_3,0,5.0,4.108543417366946,0.15052408964153305,0.0756913626164619,0.0003314224498736349,2,34
school,high_school,school_4,0,3.5,4.141666666666667,0.039230959795743585,0.002530866844184225,0.007607265341966234,17,10
school,high_school,school_5,0,3.5,,0.014292693865292727,1.9777579742527304e-28,0.0,4,0
school,high_school,school_6,0,4.428571428571429,3.96875,0.057779693747875435,0.026860751328505402,0.015718722788494136,14,12
school,high_school,school_7,0,3.5714285714285716,3.5714285714285716,0.015670995140122462,5.537722327907645e-27,0.0008476520973535459,5,1
school,high_school,school_8,0,3.375,3.4583333333333335,0.033985385179569415,0.0163793655733303,0.0,0,3
school,high_school,school_9,0,4.125,3.840136054421769,0.04874138626445549,0.02208139284639132,0.0,0,7
school,high_school,school_10,0,5.0,4.208333333333334,0.037617157073270846,0.005485052333730485,0.0,0,6
school,high_school,school_11,0,4.125,3.779761904761905,0.06423309953578629,0.0398763597601816,0.0,0,12
school,high_school,school_12,0,4.666666666666667,,0.014292693865292727,1.9777579742527304e-28,0.0,0,0
school,high_school,school_13,0,5.0,,0.014292693865292727,1.9777579742527304e-28,0.0,0,0
school,high_school,school_14,0,4.5,4.833333333333333,0.01659235671281182,9.816187359252575e-05,0.0,0,1
school,high_school,school_15,0,4.25,4.025,0.0342471362820857,0.011055318379792652,0.0,0,5
school,high_school,school_16,0,4.5,4.208333333333334,0.02737292864786833,0.0010430166608950905,0.0,0,4
school,high_school,school_17,0,3.375,3.6084183673469385,0.1377605437838599,0.17164764977548175,0.03371127073115913,50,14
school,high_school,school_18,0,3.125,3.8125,0.03190945084553577,0.011178271890384263,0.0009854046253643268,23,4
school,high_school,school_19,0,4.5,4.208829365079365,0.12978522653056818,0.08176528736946309,0.0,0,24
school,high_school,school_20,0,4.428571428571429,4.387400793650793,0.05588679193777711,0.015008619567523394,0.0048361225882810575,10,12
school,high_school,school_21,0,3.4285714285714284,4.857142857142857,0.016590849678006062,2.0877068621582595e-05,0.00018856728406512748,16,1
school,high_school,school_22,0,3.875,3.9923469387755106,0.05361708080425255,0.033467684180436386,0.0005160658792422349,3,7
school,high_school,school_23,0,3.625,4.0,0.026762004531357585,0.007871177763668231,0.0,0,3
school,high_school,school_24,0,4.166666666666667,4.111111111111112,0.07582241404653155,0.03767714755430211,0.014451077258818964,15,15
school,high_school,school_25,0,3.5714285714285716,4.571428571428571,0.018544622771778697,0.002443275089336834,0.0,0,1
school,high_school,school_26,0,4.428571428571429,3.904017857142857,0.04392984964604209,0.023406874248242015,0.0,0,8
school,high_school,school_27,0,3.3333333333333335,3.875,0.021867333206742872,0.0005120850398058717,0.0028362200959987423,3,4
school,high_school,school_28,0,4.666666666666667,4.233333333333333,0.04639499220788606,0.005877963136573535,0.003565048044367972,10,10
school,high_school,school_29,0,5.0,4.25,0.045221154695425925,0.0046850690996214596,0.0,0,8
school,high_school,school_30,0,4.25,3.922619047619048,0.04633109630060531,0.017411086960388903,0.007417010877042611,7,9
school,high_school,school_31,0,4.125,3.5137362637362637,0.10039892527418887,0.09321093317359821,0.0058539475345150355,17,13
school,high_school,school_32,0,5.0,4.083333333333334,0.017224769648342658,1.380269004248226e-05,0.0,0,2
school,high_school,school_33,0,4.875,3.7916666666666665,0.06251676628639723,0.04926259008229179,0.01345648348472044,23,6
school,high_school,school_34,0,3.3333333333333335,,0.014292693865292727,1.9777579742527304e-28,0.0,0,0
school,high_school,school_35,0,5.0,4.5,0.018685448195109727,0.00043551967357834055,0.0,0,1
school,high_school,school_36,0,4.125,3.875,0.01637874020025624,0.0003451671691828802,0.0014113559211694836,12,1
school,high_school,school_37,0,4.75,4.09375,0.031576612069679974,0.013232576995973503,0.0035504725454807515,13,4
school,high_school,school_38,0,4.428571428571429,3.8872767857142856,0.0875173558371206,0.06942790613211983,0.0,0,16
school,high_school,school_39,0,3.857142857142857,4.082589285714286,0.03972284751864283,0.00856018486728379,0.010127360513584838,7,8
school,high_school,school_40,0,4.75,3.867481203007519,0.16120615812647957,0.10860340274574361,0.0,0,38
school,high_school,school_41,0,4.875,3.7708333333333335,0.034889327322142616,0.023749742022458813,8.457452649602102e-05,4,2
school,high_school,school_42,0,5.0,,0.014292693865292727,1.9777579742527304e-28,0.0,0,0
school,high_school,school_43,0,4.666666666666667,3.375,0.016112314450841325,0.00012163434964463044,0.003991678959685396,10,1
school,high_school,school_44,0,3.3333333333333335,4.1190476190476195,0.017357684718244937,1.380269004248226e-05,0.0023685153960734564,6,2
school,high_school,school_45,0,4.0,4.1125,0.07375850380723756,0.051528461007755676,0.00013494328027319107,2,10
school,high_school,school_46,0,3.857142857142857,3.5,0.01654530136951959,0.00035666197476009526,0.0,0,1
school,high_school,school_47,0,3.5,3.743697478991596,0.107718286952559,0.09008313511086878,0.0,0,17
school,high_school,school_48,0,4.333333333333333,,0.014292693865292727,1.9777579742527304e-28,0.0,0,0
school,high_school,school_49,0,4.666666666666667,4.306878306878307,0.04322788224110451,0.003514127055611926,0.0007050834543245355,9,9
school,high_school,school_50,0,4.0,4.375000000000001,0.02767834542324891,0.001311265371944989,0.0,0,4
school,high_school,school_51,0,4.0,,0.014292693865292727,1.9777579742527304e-28,0.0,0,0
school,high_school,school_52,0,4.625,4.333333333333333,0.02582567788747241,0.007581210771248937,0.0025019805790547985,13,3
school,high_school,school_53,0,4.166666666666667,4.336734693877552,0.039778194057970694,0.005395584133337111,0.0002694183358232138,2,7
school,high_school,school_54,0,3.3333333333333335,4.0,0.026586713430271254,0.003157887303229767,0.0001337971595217616,1,3
school,high_school,school_55,0,4.142857142857143,4.857142857142857,0.016590849678006062,2.0877068621582595e-05,0.0006210441074699659,8,1
school,high_school,school_56,0,3.125,3.5,0.034452513890771294,0.017110150863274956,0.002170888393505459,27,3
school,high_school,school_57,0,3.25,4.875,0.020321429392272387,0.005589785525959182,0.0,0,1
school,high_school,school_58,0,3.8333333333333335,3.333333333333333,0.017923602644349328,0.00035666197476009526,0.0008523352581124052,1,2
school,high_school,school_59,0,4.142857142857143,3.8571428571428577,0.01740383178175183,2.3699343390450407e-06,0.0005582888622684669,4,2
school,high_school,school_60,0,4.5,4.093253968253968,0.09623476347167038,0.07042836652669937,0.0,0,18
school,high_school,school_61,0,3.25,3.65,0.036753483569359986,0.017619452600387463,0.003610149333842412,28,5
school,high_school,school_62,0,3.75,4.25,0.016975638759195347,0.001089689290352555,0.0,0,1
school,high_school,school_63,0,4.0,4.226190476190476,0.03039442742971106,0.007070764704683267,0.007312199956574683,17,6
school,high_school,school_64,0,3.5,,0.014292693865292727,1.9777579742527304e-28,0.0,0,0
school,high_school,school_65,0,4.0,4.514285714285714,0.027925585651017912,0.0012325051396910166,0.0015676439953500906,11,5
school,high_school,school_66,0,3.5,4.0,0.023359068398981185,0.0031425181692902363,0.018142671563191475,11,1
school,high_school,school_67,0,4.5,4.142857142857143,0.04555194081886064,0.003835837360798511,0.006420143846041298,14,10
school,high_school,school_68,0,3.4285714285714284,3.7127976190476195,0.03421720432494066,0.020337015669789488,0.0018644102243986548,1,4
school,high_school,school_69,0,4.875,4.302083333333334,0.04536300651098893,0.020498906188678168,0.0,0,8
school,high_school,school_70,0,4.875,4.145833333333333,0.03459852025637517,0.010671827857825958,5.542390670311207e-05,2,6
school,high_school,school_71,0,4.125,4.098214285714286,0.03927385973273346,0.03976761018554768,0.0,0,2
school,high_school,school_72,0,3.875,3.8218537414965987,0.08154399872625363,0.045385218189220866,0.0,0,14
school,high_school,school_73,0,5.0,3.75,0.04086501687458374,0.01742957534685971,0.0053720685748214125,18,7
school,high_school,school_74,0,3.0,3.4285714285714284,0.0162169809557889,0.0008083849213326685,1.6469115335322115e-05,2,1
school,high_school,school_75,0,3.6666666666666665,3.4285714285714284,0.01704863636231833,0.0005045162874623227,0.00383447344945152,5,1
school,high_school,school_76,0,3.25,3.375,0.0482515144999423,0.02648801369619169,0.0,0,6
school,high_school,school_77,0,4.285714285714286,4.321428571428571,0.038355706588082086,0.008222609675212794,0.0033422138654322403,8,6
school,high_school,school_78,0,3.375,3.7433862433862433,0.05052125877936441,0.02844733906458614,0.022330768183765295,6,9
school,high_school,school_79,0,3.625,3.4583333333333335,0.02430991892681162,0.0061440569811325,0.004251976492972381,12,3
school,high_school,school_80,0,3.375,3.125,0.015856168035540866,1.3433982777240402e-05,0.00048615879361766355,6,1
school,high_school,school_81,0,4.0,4.428571428571428,0.02443857811106252,0.003459080862426059,0.000984735543037382,7,3
school,high_school,school_82,0,3.875,4.190476190476191,0.02584639930270336,0.008958964583185994,0.003402393501284839,8,3
school,high_school,school_83,0,4.0,,0.014292693865292727,1.9777579742527304e-28,0.0,0,0
school,high_school,school_84,0,3.1666666666666665,,0.014292693865292727,1.9777579742527304e-28,0.0,1,0
