,katz_t_z,gpa_t_z,avg_friend_gpa_t,indeg_t_z,outdeg_t_z
katz_t_z,1.0,0.09739278087076525,-0.004097427222403345,0.37405595232273575,0.8893765637764144
gpa_t_z,0.09739278087076525,1.0,0.285074030080568,0.064925761846346,0.12222962151031645
avg_friend_gpa_t,-0.004097427222403345,0.285074030080568,1.0,-0.031104096534317782,0.012804158904797545
indeg_t_z,0.37405595232273575,0.064925761846346,-0.031104096534317782,1.0,0.381074395151916
outdeg_t_z,0.8893765637764144,0.12222962151031645,0.012804158904797545,0.381074395151916,1.0
