group,n,katz_coef,katz_se,katz_pval,indeg_coef,indeg_pval,r2
school,2532,-0.011012220712428411,0.03127948016437919,0.724794058676369,0.018872148808563676,0.3815239759080086,0.1069937859396497
freshmen,2702,0.021023751011835512,0.03854227217616715,0.5854285632218315,0.12049229113193086,5.381069178226891e-07,0.08466671277065396
sophomores,7425,0.02542577950885942,0.039435128889994786,0.5190895347421866,0.09901173939207343,2.8695419474641724e-05,0.1005998958717006
juniors,10610,-0.0508745173534024,0.04176913839705536,0.22322664039150464,0.10344816143002232,2.100510878714854e-05,0.10044616203807921
seniors,13427,0.035585006991828566,0.03603617920168009,0.32340737257024244,0.07860132700801727,0.0017433490158882366,0.13624598254016695
