group,level,n_new_ties,n_dropped_ties,mean_gap_new,mean_gap_dropped,diff,t_stat,p_value
school,high_school,7446,5987,0.5727899607331517,0.5829177503638836,-0.01012778963073191,-1.3326698523074494,0.182664083983168
freshmen,university,5429,4565,0.9435457727021551,1.0470339539978095,-0.1034881812956544,-6.5600382153445205,5.667346596400759e-11
sophomores,university,22525,21276,1.1314601553829078,1.1552481669486745,-0.02378801156576671,-2.887442578519786,0.003885786223701595
juniors,university,29581,28305,1.1823744971434365,1.1946401695813458,-0.012265672437909325,-1.6002368632737207,0.1095515165653961
seniors,university,42904,44177,1.1774759929144138,1.1887722117844126,-0.011296218869998764,-1.8398939036579551,0.06578721852685923
